,widths,heights
0,27,51
1,213,48
2,70,50
3,166,78
4,126,61
5,382,73
6,173,72
7,441,100
8,147,79
9,208,42
10,294,59
11,174,63
12,237,70
13,65,70
14,72,54
15,113,63
16,281,46
17,80,59
18,64,35
19,339,96
20,91,74
21,302,65
22,177,59
23,431,54
24,9,10
25,320,68
26,252,56
27,190,63
28,134,57
29,153,71
30,221,48
31,58,29
32,428,54
33,78,32
34,167,61
35,319,94
36,191,50
37,126,50
38,60,69
39,81,49
40,138,54
41,310,51
42,99,69
43,301,66
44,67,53
45,349,67
46,18,34
47,160,68
48,165,73
49,441,59
50,458,63
51,10,13
52,35,67
53,143,66
54,44,70
55,89,114
56,84,71
57,224,84
58,103,141
59,279,148
60,94,109
61,112,40
62,172,78
63,82,138
64,120,88
65,30,72
66,40,72
67,51,75
68,125,77
69,45,72
70,32,34
71,188,137
72,41,134
73,158,77
74,207,76
75,212,81
76,8,9
77,84,69
78,180,79
79,101,81
80,70,74
81,71,144
82,114,77
83,32,37
84,262,76
85,55,34
86,69,78
87,164,140
88,93,79
89,59,71
90,47,81
91,41,79
92,50,71
93,162,78
94,63,145
95,87,73
96,118,73
97,198,143
98,7,26
99,190,85
100,65,131
101,255,88
102,239,146
103,9,9
104,204,132
105,109,90
106,127,56
107,205,92
108,164,24
109,319,134
110,273,88
111,38,24
112,42,19
113,165,126
114,259,100
115,105,96
116,219,51
117,222,52
118,132,22
119,185,83
120,66,53
121,146,73
122,142,61
123,111,55
124,499,115
125,320,69
126,7,7
127,124,56
128,187,57
129,141,48
130,134,68
131,84,50
132,158,53
133,67,19
134,241,66
135,211,50
136,303,90
137,109,51
138,413,68
139,202,61
140,224,69
141,289,113
142,154,143
143,222,63
144,131,60
145,380,64
146,31,25
147,149,114
148,265,75
149,134,57
150,121,23
151,269,112
152,373,126
153,361,33
154,8,8
155,102,58
156,254,65
157,166,71
158,114,65
159,228,61
160,141,128
161,208,75
162,225,68
163,64,55
164,302,58
165,151,66
166,143,62
167,251,63
168,251,79
169,134,66
170,134,63
171,120,59
172,174,109
173,184,65
174,216,69
175,244,69
176,64,63
177,18,15
178,89,49
179,52,15
180,91,55
181,148,96
182,517,58
183,326,66
184,7,8
185,310,80
186,162,75
187,212,62
188,288,81
189,224,39
190,462,106
191,314,81
192,14,35
193,57,29
194,262,71
195,384,92
196,91,84
197,306,55
198,181,78
199,137,47
200,251,86
201,73,47
202,196,49
203,232,50
204,166,49
205,269,60
206,362,75
207,398,62
208,9,9
209,119,61
210,503,78
211,9,12
212,144,64
213,100,60
214,176,59
215,110,41
216,312,59
217,205,75
218,342,96
219,180,57
220,515,58
221,179,66
222,276,64
223,331,96
224,169,72
225,236,51
226,176,67
227,427,59
228,12,31
229,206,87
230,323,66
231,124,60
232,161,36
233,155,69
234,343,71
235,428,59
236,10,10
237,118,54
238,360,79
239,179,53
240,153,62
241,262,49
242,88,77
243,224,53
244,329,61
245,118,44
246,442,66
247,175,44
248,176,56
249,356,54
250,309,53
251,133,64
252,208,59
253,153,56
254,212,69
255,264,75
256,299,50
257,339,61
258,83,54
259,25,25
260,157,62
261,95,47
262,29,24
263,102,31
264,187,57
265,206,140
266,122,128
267,130,88
268,196,135
269,168,54
270,283,167
271,256,136
272,12,25
273,37,47
274,162,147
275,263,156
276,71,121
277,248,110
278,211,85
279,96,42
280,185,138
281,62,80
282,145,94
283,170,88
284,102,76
285,449,124
286,318,81
287,5,5
288,97,70
289,206,86
290,138,80
291,125,82
292,72,79
293,151,81
294,66,40
295,218,87
296,225,84
297,263,128
298,97,72
299,222,72
300,164,91
301,129,78
302,171,82
303,247,135
304,99,122
305,181,90
306,134,81
307,273,90
308,24,35
309,128,150
310,231,85
311,134,83
312,144,63
313,159,134
314,284,135
315,356,63
316,9,4
317,80,86
318,214,86
319,141,88
320,76,80
321,197,88
322,69,123
323,183,101
324,246,85
325,89,81
326,319,97
327,166,72
328,157,85
329,266,99
330,250,85
331,155,99
332,123,94
333,138,97
334,168,121
335,195,81
336,216,87
337,198,109
338,74,86
339,16,29
340,130,90
341,88,79
342,17,27
343,92,51
344,390,90
345,396,84
346,4,5
347,187,65
348,198,56
349,18,25
350,83,48
351,253,67
352,122,89
353,166,65
354,145,59
355,266,68
356,179,74
357,154,71
358,218,75
359,6,6
360,164,70
361,264,76
362,315,72
363,232,70
364,101,70
365,162,74
366,241,106
367,119,80
368,270,79
369,82,92
370,120,68
371,209,68
372,90,94
373,180,66
374,24,33
375,137,89
376,164,83
377,86,68
378,236,62
379,236,72
380,140,78
381,88,80
382,214,79
383,97,30
384,304,120
385,259,66
386,94,110
387,308,66
388,9,6
389,193,64
390,168,73
391,190,69
392,245,88
393,350,72
394,236,95
395,92,96
396,282,83
397,307,81
398,158,92
399,221,113
400,107,82
401,100,106
402,272,110
403,91,66
404,164,110
405,104,91
406,295,133
407,148,117
408,101,76
409,127,102
410,340,101
411,22,31
412,131,86
413,236,76
414,255,73
415,9,8
416,233,60
417,191,64
418,13,32
419,83,49
420,292,53
421,152,72
422,227,60
423,183,42
424,432,58
425,217,42
426,195,50
427,335,57
428,9,10
429,171,55
430,249,64
431,406,58
432,264,54
433,146,67
434,301,76
435,126,46
436,341,69
437,86,87
438,128,55
439,276,50
440,70,68
441,225,53
442,15,33
443,150,57
444,227,64
445,61,62
446,263,67
447,337,56
448,133,46
449,85,51
450,206,46
451,101,34
452,415,72
453,237,66
454,80,79
455,375,59
456,8,7
457,189,60
458,161,53
459,197,57
460,246,68
461,422,64
462,325,64
463,84,75
464,393,63
465,444,74
466,210,58
467,333,63
468,90,58
469,128,70
470,352,79
471,80,48
472,226,70
473,162,52
474,495,70
475,152,82
476,158,59
477,184,93
478,425,78
479,27,28
480,185,61
481,417,57
482,405,73
483,10,11
484,195,82
485,178,72
486,17,36
487,96,70
488,249,91
489,124,138
490,159,79
491,153,73
492,172,85
493,305,94
494,141,93
495,144,90
496,240,89
497,8,5
498,167,85
499,275,95
500,363,83
501,218,90
502,151,95
503,276,164
504,103,82
505,339,88
506,82,127
507,92,82
508,215,78
509,73,131
510,187,101
511,14,27
512,142,95
513,194,95
514,78,84
515,300,64
516,265,106
517,102,84
518,72,76
519,154,93
520,93,43
521,333,123
522,278,83
523,85,138
524,301,84
525,13,12
526,170,80
527,142,88
528,168,84
529,270,126
530,429,93
531,237,95
532,82,125
533,307,101
534,284,88
535,147,86
536,205,126
537,84,74
538,122,132
539,251,138
540,64,73
541,161,146
542,101,82
543,318,167
544,163,146
545,101,86
546,115,156
547,292,160
548,14,26
549,116,77
550,263,83
551,226,93
552,9,7
553,230,84
554,151,88
555,76,62
556,183,74
557,228,65
558,182,62
559,266,62
560,340,90
561,160,102
562,33,81
563,211,86
564,227,61
565,22,84
566,119,60
567,78,58
568,170,89
569,570,71
570,5,9
571,301,87
572,252,81
573,34,66
574,209,68
575,36,71
576,132,67
577,153,68
578,80,57
579,217,66
580,184,104
581,68,70
582,250,87
583,48,38
584,256,55
585,195,50
586,65,76
587,198,79
588,8,7
589,125,71
590,135,111
591,48,67
592,268,94
593,218,93
594,83,71
595,242,75
596,208,96
597,75,37
598,171,66
599,268,98
600,63,77
601,249,68
602,318,83
603,12,36
604,136,75
605,117,75
606,251,76
607,306,87
608,9,28
609,75,67
610,134,70
611,244,79
612,10,34
613,60,65
614,291,96
615,90,43
616,55,42
617,203,100
618,66,68
619,226,99
620,14,11
621,490,75
622,158,73
623,126,66
624,347,58
625,381,79
626,289,63
627,348,64
628,586,62
629,291,82
630,17,82
631,338,62
632,351,53
633,19,72
634,169,42
635,134,50
636,245,81
637,375,87
638,344,69
639,392,57
640,366,77
641,20,98
642,378,59
643,18,83
644,149,61
645,211,56
646,72,60
647,263,49
648,250,69
649,79,54
650,321,62
651,60,29
652,306,37
653,289,47
654,81,74
655,244,57
656,10,11
657,149,58
658,219,91
659,48,66
660,389,109
661,360,78
662,81,57
663,334,87
664,275,100
665,157,49
666,336,60
667,358,104
668,78,61
669,364,63
670,418,62
671,16,30
672,153,61
673,161,58
674,362,68
675,449,82
676,16,38
677,150,54
678,159,62
679,367,62
680,13,33
681,55,75
682,371,102
683,87,34
684,54,30
685,250,91
686,99,70
687,356,65
688,10,9
689,342,129
690,168,121
691,93,88
